mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_alpha,param_l1_ratio,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0.359001588821,0.0557992458344,0.828173223473,0.875918993029,0.067000000000000004,0.98,"{'alpha': 0.067000000000000004, 'l1_ratio': 0.98}",22,0.881054003987,0.870587011498,0.839832082498,0.877097689998,0.830119549704,0.873607271834,0.866930616721,0.871593898552,0.722707313971,0.886709093262,0.151473660686,0.040300967414,0.0557672859613,0.00583602799414
0.447272443771,0.0587567806244,0.838768740582,0.903578812626,0.067000000000000004,0.99,"{'alpha': 0.067000000000000004, 'l1_ratio': 0.99}",7,0.887395786335,0.899509752432,0.849908154334,0.905427411825,0.852839571151,0.903370924711,0.883228987719,0.899808502636,0.720265112131,0.909777471525,0.0754847750377,0.0334344490176,0.061138026188,0.0038119915216
0.291794967651,0.029264831543,0.768814784545,0.794098205551,0.078000000000000014,0.95,"{'alpha': 0.078000000000000014, 'l1_ratio': 0.95}",47,0.822912030361,0.786753246347,0.785683882001,0.793454709044,0.74545883696,0.789702088924,0.801731256576,0.789198062734,0.688043205301,0.811382920708,0.0653154565097,0.0216835057824,0.0476645051576,0.0089046182687
0.233543014526,0.0365811824799,0.787383502766,0.816655156015,0.078000000000000014,0.96,"{'alpha': 0.078000000000000014, 'l1_ratio': 0.96}",44,0.841881782761,0.809614412152,0.80298622703,0.816507930915,0.769378135002,0.812512197683,0.821365600826,0.811769010702,0.701064040611,0.832872228625,0.0544427835174,0.0255181307843,0.0492704221575,0.00840982417377
0.200792837143,0.0501479625702,0.805923854836,0.840959392565,0.078000000000000014,0.97,"{'alpha': 0.078000000000000014, 'l1_ratio': 0.97}",39,0.860425978409,0.834439253772,0.819908374193,0.841355390946,0.794980809257,0.837301916045,0.841344062768,0.836197776908,0.712723888718,0.855502625157,0.102410110414,0.0087768795015,0.0514184931656,0.00761872373796
0.208886384964,0.0525345802307,0.823607027458,0.867730492125,0.078000000000000014,0.98,"{'alpha': 0.078000000000000014, 'l1_ratio': 0.98}",25,0.877126594368,0.86207142829,0.835745051361,0.868724484407,0.822237970088,0.865008001623,0.861357297216,0.863274337685,0.721341818772,0.879574208622,0.0665899060024,0.0182371872641,0.0545649292619,0.00633333895391
0.273765993118,0.050799036026,0.837612177438,0.898662690994,0.078000000000000014,0.99,"{'alpha': 0.078000000000000014, 'l1_ratio': 0.99}",11,0.887297839429,0.894360907871,0.848631398569,0.900382665316,0.84950400483,0.897974210383,0.880660332328,0.894783833573,0.721757984849,0.905811837829,0.0968423894546,0.0397228526773,0.059984927449,0.00419746329647
0.210562610626,0.0901432037354,0.755897448662,0.779031117901,0.08900000000000001,0.95,"{'alpha': 0.08900000000000001, 'l1_ratio': 0.95}",49,0.809592916412,0.771558119684,0.773461181759,0.778063808933,0.729518932192,0.774540547669,0.788177066845,0.774164335443,0.678491424719,0.796828777774,0.0778358134068,0.0585936030488,0.046727140109,0.00913661729997
0.187250757217,0.0347448348999,0.776881344179,0.803738250723,0.08900000000000001,0.96,"{'alpha': 0.08900000000000001, 'l1_ratio': 0.96}",46,0.831182267274,0.796505307751,0.793240014876,0.803305167482,0.755682099921,0.799431475839,0.810230570585,0.79883393727,0.693828114466,0.820615365271,0.0711070090852,0.0198956619104,0.0483127459865,0.00871711673598
0.271011734009,0.0603455543518,0.798115422833,0.830423845897,0.08900000000000001,0.97,"{'alpha': 0.08900000000000001, 'l1_ratio': 0.97}",40,0.852687127324,0.82365088601,0.812829527523,0.830584373511,0.783932891856,0.826521379605,0.832859415553,0.825592645956,0.708029235329,0.845769944401,0.142296007521,0.0124163444561,0.050421956267,0.00799964036766
0.266635751724,0.0787564277649,0.818797272411,0.859856050877,0.08900000000000001,0.98,"{'alpha': 0.08900000000000001, 'l1_ratio': 0.98}",30,0.872757680333,0.853910332351,0.83145571934,0.860674277084,0.81440702897,0.856800764175,0.855735148269,0.855290488324,0.719401064955,0.872604392453,0.108718724336,0.0403617293311,0.053527715677,0.00676343720461
